Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1648765,5-Jan-15,13-Nov-14,3366,1665763,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648765,SRX757892,3174315,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743043,SAMN03174315,simple,11676,Human immunodeficiency virus 1,5-327_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,246258827731071AD03002559B7C9772,8DDF26B08E95E2DC9DFF07FEF8A387A4
SRR1648766,5-Jan-15,13-Nov-14,4811,2380411,0,494,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648766,SRX757893,3174316,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743039,SAMN03174316,simple,11676,Human immunodeficiency virus 1,5-331_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,6F36257FD92B12591894900DAA461FB1,A7A66E36A402EA49D5D4AA197BAE522F
SRR1648767,5-Jan-15,13-Nov-14,3089,1535589,0,497,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648767,SRX757894,3174317,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743040,SAMN03174317,simple,11676,Human immunodeficiency virus 1,5-331_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,D3FDF41AE9690FDEC9C240C6B667A977,37D857A5CE9B74F37873433D478D389A
SRR1648768,5-Jan-15,13-Nov-14,4962,2495791,0,502,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648768,SRX757895,3174318,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743041,SAMN03174318,simple,11676,Human immunodeficiency virus 1,5-335_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,63E64A603AC78BC15D6E0B933E2244D8,674477DDCF69036E1D5917B72D2F385D
SRR1648769,5-Jan-15,13-Nov-14,3176,1600203,0,503,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648769,SRX757896,3174319,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743042,SAMN03174319,simple,11676,Human immunodeficiency virus 1,5-335_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,1937AF34B28757B8DDCCB3F31BD8F88E,77DDB65B08806728039D75B23F1AB4CE
SRR1648770,5-Jan-15,13-Nov-14,4250,2201534,0,518,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648770,SRX757897,3174320,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743044,SAMN03174320,simple,11676,Human immunodeficiency virus 1,5-339_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,FA1AA750E55B328DF8F2C2682B61B30A,DE0CFC4FD01AF858B5818B4EC9E65B3B
SRR1648771,5-Jan-15,13-Nov-14,2942,1525066,0,518,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648771,SRX757898,3174321,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743045,SAMN03174321,simple,11676,Human immunodeficiency virus 1,5-339_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,EDB2D947704CD474B9777F2BBC5B1312,EB377D3B3EE1B3C783AD8D778EA1A0D4
SRR1648772,5-Jan-15,13-Nov-14,2993,1513755,0,505,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648772,SRX757899,3174322,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743046,SAMN03174322,simple,11676,Human immunodeficiency virus 1,6-205_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,4842415A4C6348F62A31E5DD53644B92,83C127A6D4E66F984731675D12F01C1A
SRR1648773,5-Jan-15,13-Nov-14,2975,1507031,0,506,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648773,SRX757900,3174323,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743047,SAMN03174323,simple,11676,Human immunodeficiency virus 1,6-205_SC+3,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,C13DFFFA669FFEE3A0E2996FD3267CFB,AF840BB8604330534117E5DCCDBCA51A
SRR1648774,5-Jan-15,13-Nov-14,3126,1594638,0,510,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648774,SRX757901,3174324,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743048,SAMN03174324,simple,11676,Human immunodeficiency virus 1,6-209_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,296C6643B40FD451C326579BB808F173,269E6DF0E77440A4067A8598D08E092F
SRR1648775,5-Jan-15,13-Nov-14,3491,1762115,0,504,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648775,SRX757902,3174325,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743049,SAMN03174325,simple,11676,Human immunodeficiency virus 1,6-209_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,6017CDC0C3B7FF0E690BB7C705D22C38,13B9E817E39E8A7F5ED75A40EEBC6826
SRR1648776,5-Jan-15,13-Nov-14,2925,1519005,0,519,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648776,SRX757903,3174326,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743050,SAMN03174326,simple,11676,Human immunodeficiency virus 1,6-213_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,C7EBC17FF7B7A0231CF25D33ABBB7931,3A35CE5EC8C44FCE47C8BE04868C2480
SRR1648777,5-Jan-15,13-Nov-14,3822,1968123,0,514,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648777,SRX757904,3174327,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743051,SAMN03174327,simple,11676,Human immunodeficiency virus 1,6-213_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,72A2FB94456EB8FE663F4FED80B8A049,3C7ABDEF84C991514F5004E5372B2325
SRR1648778,5-Jan-15,13-Nov-14,2693,1395987,0,518,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648778,SRX757905,3174328,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743053,SAMN03174328,simple,11676,Human immunodeficiency virus 1,6-217_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,FBD40B5F91BF9A1EE5E27A55FBFDC844,C536675E9F31B8E21B49F0DFFE87C49A
SRR1648779,5-Jan-15,13-Nov-14,2449,1263677,0,515,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648779,SRX757906,3174329,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743052,SAMN03174329,simple,11676,Human immunodeficiency virus 1,6-217_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,F54EFF17A0E2F559F26874AC5B9C4662,36ED9894FA697DADBD1E3C166E2E7CB5
SRR1648780,5-Jan-15,13-Nov-14,2843,1411476,0,496,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648780,SRX757907,3174330,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743054,SAMN03174330,simple,11676,Human immunodeficiency virus 1,6-221_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,F2DB1F1002803096044E745B6324C507,F97FD000BADA0E0E8DA8B1456D2935E4
SRR1648781,5-Jan-15,13-Nov-14,3115,1556146,0,499,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648781,SRX757908,3174331,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743055,SAMN03174331,simple,11676,Human immunodeficiency virus 1,6-221_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,1E326CBDA4DD6461218020147E3FE590,8FEA6487F0B0F37C96ACCD744CF161FD
SRR1648782,5-Jan-15,13-Nov-14,3311,1649316,0,498,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648782,SRX757909,3174332,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743056,SAMN03174332,simple,11676,Human immunodeficiency virus 1,6-225_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,CAAFD023D5095033429F9057AA0001FD,48BA93E5AA1AD0EC283CF2DDDA22D4DA
SRR1648783,5-Jan-15,13-Nov-14,2762,1374407,0,497,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648783,SRX757910,3174333,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743057,SAMN03174333,simple,11676,Human immunodeficiency virus 1,6-225_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,2A83A355527FD76D7AC88E09DCDA8824,6855772262A5F34FE8AA0AFD17599CEB
SRR1648784,5-Jan-15,13-Nov-14,3154,1580581,0,501,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648784,SRX757911,3174334,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743059,SAMN03174334,simple,11676,Human immunodeficiency virus 1,6-229_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,80C89CA247B8B6B456C04B32568CB04A,7986EDD857CAABFABAD031C64F7B5176
SRR1648785,5-Jan-15,13-Nov-14,2944,1479165,0,502,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648785,SRX757912,3174335,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743058,SAMN03174335,simple,11676,Human immunodeficiency virus 1,6-229_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,D2B56B85E426248BACE5C66631397C6D,28F9F353A0A042FD4FD9AD384C1B2312
SRR1648786,5-Jan-15,13-Nov-14,3242,1670515,0,515,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648786,SRX757913,3174336,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743061,SAMN03174336,simple,11676,Human immunodeficiency virus 1,6-233_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,D7B7CCA45F2327060348C50825F05F0D,6F185E1355CAC2264319B4AEC43E0B3E
